,škola,třída,datum narození,datum testu,gender,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,subtest 1,subtest 2,subtest 3,subtest 4,subtest 5,subtest 6,subtest 7,subtest 8,test 1,test 2,test 3,test 4, TMC
550,E,2.A,,,F,3.0,3.0,0.0,3.0,12.0,12.0,12.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,5.0,40.0,16.0,9.0,17.0,8.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.2,25.0,48.0,38.0,40.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,140.0,11.0,13.0,60.0,60.0,,,,,,,,,,,,,
551,E,2.A,,,M,3.0,3.0,0.0,0.0,12.0,9.0,11.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,3.0,28.0,15.0,8.0,13.0,8.0,4.0,5.0,5.0,5.0,4.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,10.0,8.05,18.0,56.0,25.0,40.0,4.0,4.0,5.0,5.0,7.0,3.0,3.0,140.0,12.0,10.0,40.0,30.0,,,,,,,,,,,,,
552,E,2.A,,,F,3.0,3.0,1.0,1.0,11.0,12.0,12.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,9.0,15.0,9.0,18.0,7.0,4.0,5.0,5.0,0.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,8.74,17.0,44.0,24.0,30.0,3.0,5.0,2.0,0.0,9.0,8.0,2.0,130.0,0.0,6.0,60.0,60.0,,,,,,,,,,,,,
553,E,3.B,,,F,3.0,2.0,0.0,3.0,10.0,12.0,12.0,3.0,5.0,6.0,2.0,5.0,4.0,4.0,5.0,26.0,14.0,6.0,15.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.14,16.0,44.0,22.0,33.0,5.0,5.0,4.0,2.0,5.0,6.0,3.0,110.0,3.0,11.0,60.0,60.0,,,,,,,,,,,,,
554,E,3.B,,,F,3.0,3.0,0.0,1.0,11.0,12.0,12.0,3.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,28.0,16.0,8.0,18.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,7.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.32,17.0,41.0,18.0,34.0,5.0,4.0,3.0,2.0,10.0,10.0,2.0,120.0,7.0,15.0,60.0,60.0,,,,,,,,,,,,,
555,E,3.B,,,F,3.0,2.0,0.0,5.0,12.0,12.0,12.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,36.0,16.0,9.0,18.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,8.32,17.0,39.0,22.0,33.0,5.0,5.0,5.0,3.0,10.0,10.0,5.0,100.0,8.0,13.0,60.0,15.0,,,,,,,,,,,,,
556,E,3.B,,,M,3.0,3.0,0.0,1.0,9.0,5.0,9.0,3.0,4.0,5.0,2.0,4.0,5.0,0.0,0.0,21.0,12.0,8.0,17.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,8.87,19.0,40.0,27.0,33.0,5.0,5.0,5.0,4.0,10.0,10.0,3.0,120.0,3.0,14.0,60.0,60.0,,,,,,,,,,,,,
557,E,3.B,,,M,3.0,2.0,0.0,1.0,12.0,12.0,12.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,28.0,13.0,6.0,15.0,6.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.12,15.0,37.0,15.0,36.0,4.0,5.0,3.0,4.0,10.0,10.0,3.0,110.0,6.0,11.0,30.0,20.0,,,,,,,,,,,,,
558,E,3.B,,,M,2.0,2.0,0.0,2.0,12.0,12.0,12.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,41.0,17.0,9.0,21.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.14,21.0,32.0,30.0,53.0,5.0,5.0,5.0,4.0,10.0,10.0,3.0,140.0,8.0,19.0,60.0,60.0,,,,,,,,,,,,,
559,E,3.B,,,F,3.0,3.0,0.0,0.0,12.0,11.0,12.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,6.0,37.0,14.0,9.0,16.0,8.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,8.2,17.0,40.0,33.0,41.0,5.0,4.0,3.0,0.0,5.0,6.0,1.0,130.0,8.0,11.0,60.0,60.0,,,,,,,,,,,,,
560,E,3.B,,,F,3.0,3.0,0.0,2.0,10.0,12.0,12.0,4.0,5.0,6.0,3.0,5.0,5.0,5.0,6.0,21.0,15.0,7.0,16.0,7.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,0.0,10.0,10.0,10.0,8.95,18.0,42.0,25.0,33.0,4.0,3.0,2.0,2.0,10.0,10.0,0.0,100.0,6.0,10.0,60.0,60.0,,,,,,,,,,,,,
561,E,3.B,,,F,3.0,3.0,1.0,0.0,11.0,11.0,12.0,4.0,5.0,6.0,2.0,5.0,4.0,3.0,4.0,29.0,15.0,9.0,18.0,6.0,4.0,2.0,5.0,2.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,0.0,10.0,0.0,8.95,19.0,38.0,25.0,22.0,5.0,3.0,2.0,4.0,2.0,4.0,0.0,120.0,5.0,13.0,60.0,60.0,,,,,,,,,,,,,
562,E,3.B,,,F,3.0,3.0,0.0,0.0,11.0,12.0,12.0,3.0,4.0,6.0,4.0,5.0,5.0,4.0,5.0,50.0,19.0,10.0,26.0,8.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,9.53,22.0,54.0,28.0,43.0,5.0,5.0,5.0,3.0,10.0,10.0,3.0,130.0,19.0,14.0,60.0,60.0,,,,,,,,,,,,,
